Timestamp,Please provide your ID that was assigned to you by your presenter:,How old are you?,What gender do you identify yourself with the most?,How technically affine are you?,How often do you use calendar apps?
11/28/2023 23:29:20,2,60,Male,8,Often
11/29/2023 0:11:51,3,59,Female,9,Often
11/29/2023 11:52:31,0,25,Female,9,Rarely
11/29/2023 16:15:49,10,71,Male,4,Never
11/29/2023 17:08:26,11,63,Female,4,Often
11/29/2023 18:47:26,7,24,Male,8,Rarely
11/29/2023 20:25:17,6,22,Female,4,Daily
11/29/2023 21:46:42,1,42,Female,8,Often
11/30/2023 13:09:15,8,62,Female,4,Never
11/30/2023 13:12:20,9,66,Male,4,Never
11/29/2023 20:24:09,4,21,Female,4,Rarely
11/29/2023 21:09:01,5,17,Male,9,Never
